"","rate","approx_cost.for.two.people.","online_order","book_table","votes","listed_in.type.","listed_in.city.","Cuisines_Categorical","Restaurant_type"
"3007",2.7,1100,"No","No",377,"Drinks & nightlife","Basavanagudi","Indian","Pub"
"3008",3.7,2200,"No","Yes",64,"Drinks & nightlife","Basavanagudi","Fast Food","Bar"
"3009",4.1,1500,"Yes","Yes",970,"Drinks & nightlife","Basavanagudi","Indian","Casual Dining"
"3010",4.1,1200,"Yes","Yes",442,"Drinks & nightlife","Basavanagudi","Fast Food","Casual Dining"
"3011",4.1,1200,"No","No",868,"Drinks & nightlife","Basavanagudi","Indian","Pub"
"3012",3.8,1300,"No","Yes",977,"Drinks & nightlife","Basavanagudi","Fast Food","Lounge"
"3013",3.7,1350,"No","Yes",151,"Drinks & nightlife","Basavanagudi","Indian","Lounge"
"3014",3.7,700,"No","No",43,"Drinks & nightlife","Basavanagudi","Indian","Bar"
"3015",3.8,1000,"No","Yes",235,"Drinks & nightlife","Basavanagudi","Indian","Casual Dining"
"3016",3.1,1000,"No","No",30,"Drinks & nightlife","Basavanagudi","Indian","Bar"
"3017",3,800,"No","No",98,"Drinks & nightlife","Basavanagudi","Indian","Bar"
"3018",3.9,1500,"No","Yes",284,"Buffet","Bellandur","Indian","Casual Dining"
"3019",4.4,1400,"Yes","Yes",4099,"Buffet","Bellandur","Indian","Bar"
"3020",4.2,2000,"No","Yes",271,"Buffet","Bellandur","Indian","Casual Dining"
"3021",4.1,1000,"Yes","Yes",3020,"Buffet","Bellandur","Indian","Casual Dining"
"3022",4.4,1400,"Yes","Yes",2182,"Buffet","Bellandur","Indian","Bar"
"3023",4.3,1800,"No","Yes",403,"Buffet","Bellandur","Indian","Casual Dining"
"3024",4,1200,"Yes","No",444,"Buffet","Bellandur","Indian","Casual Dining"
"3025",3.9,1500,"Yes","Yes",392,"Buffet","Bellandur","Indian","Bar"
"3026",3.6,1500,"No","Yes",255,"Buffet","Bellandur","Indian","Lounge"
"3027",4.1,1100,"Yes","Yes",1691,"Buffet","Bellandur","Indian","Bar"
"3028",3.7,1500,"Yes","Yes",37,"Buffet","Bellandur","Indian","Casual Dining"
"3029",2.8,1000,"No","No",11,"Buffet","Bellandur","European","Food Court"
"3030",3,1000,"No","No",120,"Buffet","Bellandur","Indian","Casual Dining"
"3031",3.5,700,"No","No",95,"Buffet","Bellandur","Indian","Casual Dining"
"3032",3,800,"No","No",155,"Buffet","Bellandur","Indian","Casual Dining"
"3033",3.8,2000,"No","No",46,"Buffet","Bellandur","Indian","Casual Dining"
"3034",4.8,1500,"No","Yes",7023,"Buffet","Bellandur","Indian","Bar"
"3035",4.4,1400,"Yes","Yes",4099,"Buffet","Bellandur","Indian","Bar"
"3036",4.5,1300,"No","Yes",3421,"Buffet","Bellandur","Indian","Casual Dining"
"3037",4.7,1600,"No","Yes",881,"Buffet","Bellandur","Indian","Casual Dining"
"3038",4.3,1300,"Yes","Yes",994,"Buffet","Bellandur","Indian","Casual Dining"
"3039",4.3,1000,"No","No",1303,"Buffet","Bellandur","Indian","Casual Dining"
"3040",4.7,1500,"No","Yes",163,"Buffet","Bellandur","Indian","Bar"
"3041",3.9,1100,"No","No",1225,"Buffet","Bellandur","Indian","Casual Dining"
"3042",4.3,1500,"Yes","Yes",715,"Buffet","Bellandur","Bar Food","Casual Dining"
"3043",4,1300,"Yes","Yes",942,"Buffet","Bellandur","Indian","Pub"
"3044",4.3,500,"Yes","No",754,"Buffet","Bellandur","Indian","Casual Dining"
"3045",3,700,"No","No",197,"Buffet","Bellandur","Indian","Casual Dining"
"3046",3.9,1900,"No","Yes",52,"Buffet","Bellandur","Indian","Lounge"
"3047",3.7,500,"No","No",15,"Cafes","Bellandur","Indian","Cafe"
"3048",4,400,"Yes","No",107,"Cafes","Bellandur","Dessert","Cafe"
"3049",3.8,650,"Yes","No",35,"Cafes","Bellandur","Dessert","Cafe"
"3050",3.6,600,"Yes","No",136,"Cafes","Bellandur","Fast Food","Bakery"
"3051",4,500,"No","No",23,"Cafes","Bellandur","Dessert","Cafe"
"3052",3.9,700,"No","No",38,"Cafes","Bellandur","Dessert","Cafe"
"3053",3.9,400,"No","No",25,"Cafes","Bellandur","Dessert","Cafe"
"3054",3.6,400,"Yes","No",34,"Cafes","Bellandur","Fast Food","Cafe"
"3055",3.1,900,"Yes","No",48,"Cafes","Bellandur","Fast Food","Cafe"
"3056",2.9,500,"Yes","No",19,"Cafes","Bellandur","Dessert","Cafe"
"3057",4,600,"Yes","No",74,"Cafes","Bellandur","Dessert","Cafe"
"3058",3.7,500,"No","No",47,"Cafes","Bellandur","Dessert","Cafe"
"3059",3.7,550,"No","No",33,"Cafes","Bellandur","Fast Food","Cafe"
"3060",3,500,"No","No",6,"Cafes","Bellandur","Fast Food","Cafe"
"3061",3.8,550,"No","No",114,"Cafes","Bellandur","Dessert","Cafe"
"3062",4,1000,"Yes","Yes",341,"Cafes","Bellandur","Bar Food","Cafe"
"3063",3.6,200,"No","No",5,"Cafes","Bellandur","Fast Food","Quick Bites"
"3064",4.3,500,"Yes","No",556,"Cafes","Bellandur","Bar Food","Cafe"
"3065",4.3,600,"Yes","No",894,"Cafes","Bellandur","Bar Food","Cafe"
"3066",4.3,800,"Yes","No",149,"Cafes","Bellandur","Bar Food","Cafe"
"3067",3.7,700,"Yes","No",94,"Cafes","Bellandur","Indian","Cafe"
"3068",4.1,200,"Yes","No",33,"Cafes","Bellandur","Fast Food","Cafe"
"3069",3.9,200,"No","No",22,"Cafes","Bellandur","Fast Food","Quick Bites"
"3070",4.4,500,"Yes","No",632,"Delivery","Bellandur","Indian","Delivery"
"3071",3.4,400,"Yes","No",414,"Delivery","Bellandur","Indian","Quick Bites"
"3072",3.9,650,"Yes","No",146,"Delivery","Bellandur","Indian","Casual Dining"
"3073",4.1,500,"Yes","No",166,"Delivery","Bellandur","Indian","Delivery"
"3074",3.2,450,"Yes","No",113,"Delivery","Bellandur","Indian","Delivery"
"3075",3.8,200,"Yes","No",240,"Delivery","Bellandur","Indian","Quick Bites"
"3076",2.9,450,"Yes","No",313,"Delivery","Bellandur","Indian","Quick Bites"
"3077",3.3,400,"Yes","No",294,"Delivery","Bellandur","Indian","Quick Bites"
"3078",4.3,400,"Yes","No",166,"Delivery","Bellandur","Indian","Delivery"
"3079",4.4,400,"Yes","No",278,"Delivery","Bellandur","Indian","Delivery"
"3080",3.8,300,"Yes","No",230,"Delivery","Bellandur","Indian","Quick Bites"
"3081",3.5,350,"Yes","No",137,"Delivery","Bellandur","Indian","Quick Bites"
"3082",3.2,500,"Yes","No",38,"Delivery","Bellandur","Indian","Quick Bites"
"3083",3.1,200,"Yes","No",15,"Delivery","Bellandur","Indian","Quick Bites"
"3084",3.9,300,"Yes","No",782,"Delivery","Bellandur","Indian","Quick Bites"
"3085",2.9,400,"Yes","No",248,"Delivery","Bellandur","Indian","Quick Bites"
"3086",3.8,500,"Yes","No",62,"Delivery","Bellandur","Fast Food","Quick Bites"
"3087",3.7,300,"Yes","No",123,"Delivery","Bellandur","Indian","Mess"
"3088",4,300,"Yes","No",532,"Delivery","Bellandur","Indian","Quick Bites"
"3089",4.5,400,"Yes","No",141,"Delivery","Bellandur","Dessert","Dessert Parlor"
"3090",3.8,200,"Yes","No",68,"Delivery","Bellandur","Fast Food","Quick Bites"
"3091",4,600,"Yes","Yes",533,"Delivery","Bellandur","Indian","Casual Dining"
"3092",4.2,700,"Yes","No",258,"Delivery","Bellandur","Indian","Casual Dining"
"3093",4.2,600,"Yes","No",3334,"Delivery","Bellandur","Indian","Casual Dining"
"3094",3.9,500,"Yes","No",1233,"Delivery","Bellandur","Indian","Casual Dining"
"3095",3.8,800,"Yes","Yes",188,"Delivery","Bellandur","Indian","Casual Dining"
"3096",3.8,900,"Yes","No",419,"Delivery","Bellandur","Indian","Casual Dining"
"3097",3.8,750,"Yes","No",2084,"Delivery","Bellandur","Indian","Casual Dining"
"3098",3.6,500,"Yes","No",34,"Delivery","Bellandur","Indian","Casual Dining"
"3099",3.7,550,"Yes","No",833,"Delivery","Bellandur","Indian","Casual Dining"
"3100",3.6,300,"Yes","No",21,"Delivery","Bellandur","Indian","Quick Bites"
"3101",4,400,"Yes","No",152,"Delivery","Bellandur","Indian","Sweet Shop"
"3102",3.8,400,"Yes","No",87,"Delivery","Bellandur","Indian","Quick Bites"
"3103",3.5,600,"Yes","No",45,"Delivery","Bellandur","Indian","Quick Bites"
"3104",2.9,800,"Yes","No",666,"Delivery","Bellandur","Indian","Casual Dining"
"3105",3.9,400,"Yes","No",105,"Delivery","Bellandur","Bar Food","Dessert Parlor"
"3106",3.7,400,"Yes","No",36,"Delivery","Bellandur","Indian","Quick Bites"
"3107",3.9,400,"Yes","No",214,"Delivery","Bellandur","Indian","Quick Bites"
"3108",4,300,"Yes","No",77,"Delivery","Bellandur","Indian","Quick Bites"
"3109",3.8,300,"Yes","No",132,"Delivery","Bellandur","Indian","Quick Bites"
"3110",3.6,400,"Yes","No",27,"Delivery","Bellandur","Indian","Casual Dining"
"3111",3,500,"Yes","No",12,"Delivery","Bellandur","Indian","Quick Bites"
"3112",4.2,550,"Yes","No",567,"Delivery","Bellandur","Indian","Casual Dining"
"3113",4.1,600,"Yes","No",164,"Delivery","Bellandur","Bar Food","Delivery"
"3114",4,250,"Yes","No",316,"Delivery","Bellandur","Fast Food","Beverage Shop"
"3115",4.4,600,"Yes","Yes",3738,"Delivery","Bellandur","Bar Food","Cafe"
"3116",3.9,300,"Yes","No",343,"Delivery","Bellandur","Indian","Quick Bites"
"3117",3.8,400,"Yes","No",62,"Delivery","Bellandur","Indian","Casual Dining"
"3118",3.5,200,"Yes","No",11,"Delivery","Bellandur","Indian","Quick Bites"
"3119",4.1,300,"Yes","No",87,"Delivery","Bellandur","Indian","Delivery"
"3120",3.8,600,"Yes","No",44,"Delivery","Bellandur","Indian","Delivery"
"3121",4,750,"Yes","No",894,"Delivery","Bellandur","Indian","Casual Dining"
"3122",3.8,500,"Yes","No",7,"Delivery","Bellandur","Indian","Quick Bites"
"3123",3.2,300,"Yes","No",126,"Delivery","Bellandur","Indian","Quick Bites"
"3124",3.8,650,"Yes","No",832,"Delivery","Bellandur","Indian","Delivery"
"3125",4,750,"Yes","Yes",903,"Delivery","Bellandur","Indian","Casual Dining"
"3126",3.7,600,"Yes","No",38,"Delivery","Bellandur","Fast Food","Quick Bites"
"3127",3.2,450,"Yes","No",380,"Delivery","Bellandur","Fast Food","Quick Bites"
"3128",3.8,450,"Yes","No",798,"Delivery","Bellandur","Indian","Delivery"
"3129",3.4,600,"Yes","No",692,"Delivery","Bellandur","Indian","Casual Dining"
"3130",3.8,400,"Yes","No",135,"Delivery","Bellandur","Indian","Casual Dining"
"3131",4,950,"Yes","No",230,"Delivery","Bellandur","Indian","Casual Dining"
"3132",3.5,400,"Yes","No",79,"Delivery","Bellandur","Asian","Quick Bites"
"3133",4,650,"Yes","No",357,"Delivery","Bellandur","Indian","Delivery"
"3134",3.6,350,"Yes","No",22,"Delivery","Bellandur","Indian","Quick Bites"
"3135",4.1,400,"Yes","No",152,"Delivery","Bellandur","Indian","Delivery"
"3136",3.9,500,"Yes","No",75,"Delivery","Bellandur","Dessert","Bakery"
"3137",3.9,200,"Yes","No",94,"Delivery","Bellandur","Indian","Quick Bites"
"3138",3.6,150,"Yes","No",11,"Delivery","Bellandur","Indian","Quick Bites"
"3139",3.3,450,"Yes","No",200,"Delivery","Bellandur","Indian","Quick Bites"
"3140",2.8,400,"Yes","No",188,"Delivery","Bellandur","Indian","Casual Dining"
"3141",3.3,300,"Yes","No",10,"Delivery","Bellandur","Indian","Delivery"
"3142",3.1,500,"Yes","No",226,"Delivery","Bellandur","Indian","Casual Dining"
"3143",2.8,600,"Yes","No",105,"Delivery","Bellandur","Fast Food","Quick Bites"
"3144",3.7,800,"Yes","Yes",194,"Delivery","Bellandur","Indian","Casual Dining"
"3145",3,450,"Yes","No",38,"Delivery","Bellandur","Indian","Casual Dining"
"3146",3.5,500,"Yes","No",378,"Delivery","Bellandur","Indian","Quick Bites"
"3147",3.9,200,"Yes","No",69,"Delivery","Bellandur","Indian","Quick Bites"
"3148",2.9,600,"Yes","No",45,"Delivery","Bellandur","Indian","Casual Dining"
"3149",3.9,300,"Yes","No",152,"Delivery","Bellandur","Fast Food","Beverage Shop"
"3150",3.8,350,"Yes","No",281,"Delivery","Bellandur","Indian","Quick Bites"
"3151",3.1,300,"Yes","No",26,"Delivery","Bellandur","Indian","Quick Bites"
"3152",2.8,300,"Yes","No",105,"Delivery","Bellandur","Indian","Quick Bites"
"3153",3.9,450,"Yes","No",432,"Delivery","Bellandur","Indian","Delivery"
"3154",3.7,300,"Yes","No",63,"Delivery","Bellandur","Indian","Delivery"
"3155",3.9,800,"Yes","Yes",225,"Delivery","Bellandur","Indian","Casual Dining"
"3156",3.4,200,"Yes","No",12,"Delivery","Bellandur","Indian","Quick Bites"
"3157",4.3,600,"Yes","No",220,"Delivery","Bellandur","American","Delivery"
"3158",4,400,"Yes","No",82,"Delivery","Bellandur","Dessert","Beverage Shop"
"3159",3.8,500,"Yes","No",65,"Delivery","Bellandur","Dessert","Bakery"
"3160",4.1,600,"Yes","No",88,"Delivery","Bellandur","Mexican","Delivery"
"3161",4,1200,"Yes","No",444,"Delivery","Bellandur","Indian","Casual Dining"
"3162",2.9,800,"Yes","No",827,"Delivery","Bellandur","Indian","Casual Dining"
"3163",3.5,300,"Yes","No",6,"Delivery","Bellandur","Indian","Quick Bites"
"3164",4.1,500,"Yes","No",193,"Delivery","Bellandur","Indian","Quick Bites"
"3165",4.2,150,"Yes","No",233,"Delivery","Bellandur","Fast Food","Quick Bites"
"3166",3.7,500,"Yes","No",404,"Delivery","Bellandur","Indian","Casual Dining"
"3167",3.7,400,"Yes","No",37,"Delivery","Bellandur","Indian","Quick Bites"
"3168",4.6,1500,"Yes","No",1193,"Delivery","Bellandur","Indian","Bar"
"3169",4.4,1400,"Yes","Yes",4099,"Delivery","Bellandur","Indian","Bar"
"3170",3.9,300,"Yes","No",78,"Delivery","Bellandur","Middle Eastern","Quick Bites"
"3171",3.8,600,"Yes","Yes",571,"Delivery","Bellandur","Indian","Casual Dining"
"3172",3.5,600,"Yes","No",116,"Delivery","Bellandur","Indian","Casual Dining"
"3173",4.3,1200,"Yes","Yes",996,"Delivery","Bellandur","Indian","Casual Dining"
"3174",2.9,400,"Yes","No",120,"Delivery","Bellandur","Indian","Quick Bites"
"3175",2.9,400,"Yes","No",93,"Delivery","Bellandur","Indian","Quick Bites"
"3176",4.3,500,"Yes","No",490,"Delivery","Bellandur","Dessert","Bakery"
"3177",2.3,800,"Yes","No",235,"Delivery","Bellandur","Indian","Casual Dining"
"3178",3.6,400,"Yes","No",48,"Delivery","Bellandur","Indian","Delivery"
"3179",3.3,250,"Yes","No",8,"Delivery","Bellandur","Dessert","Bakery"
"3180",3,500,"Yes","No",68,"Delivery","Bellandur","Indian","Quick Bites"
"3181",4,800,"Yes","No",717,"Delivery","Bellandur","Indian","Casual Dining"
"3182",4.3,1300,"Yes","Yes",994,"Delivery","Bellandur","Indian","Casual Dining"
"3183",4.9,1600,"Yes","Yes",16345,"Delivery","Bellandur","Indian","Microbrewery"
"3184",3.7,350,"Yes","No",25,"Delivery","Bellandur","Dessert","Quick Bites"
"3185",3.6,200,"Yes","No",18,"Delivery","Bellandur","Dessert","Dessert Parlor"
"3186",4.5,700,"Yes","Yes",125,"Delivery","Bellandur","Indian","Casual Dining"
"3187",4.5,1800,"Yes","Yes",1365,"Delivery","Bellandur","American","Bar"
"3188",3.1,700,"Yes","No",41,"Delivery","Bellandur","Indian","Casual Dining"
"3189",4.3,500,"Yes","No",754,"Delivery","Bellandur","Indian","Casual Dining"
"3190",3.5,300,"Yes","No",28,"Delivery","Bellandur","Bar Food","Delivery"
"3191",3.4,400,"Yes","No",5,"Delivery","Bellandur","Indian","Casual Dining"
"3192",2.6,400,"Yes","No",20,"Delivery","Bellandur","Fast Food","Casual Dining"
"3193",3.5,300,"Yes","No",178,"Delivery","Bellandur","Indian","Quick Bites"
"3194",3.4,800,"Yes","No",33,"Delivery","Bellandur","Indian","Casual Dining"
"3195",3.5,400,"Yes","No",234,"Delivery","Bellandur","Indian","Quick Bites"
"3196",3.4,600,"Yes","No",68,"Delivery","Bellandur","Asian","Quick Bites"
"3197",3.5,400,"Yes","No",32,"Delivery","Bellandur","Bar Food","Delivery"
"3198",3.6,400,"Yes","No",15,"Delivery","Bellandur","Indian","Quick Bites"
"3199",3.6,500,"Yes","No",10,"Delivery","Bellandur","Indian","Delivery"
"3200",4,400,"Yes","No",107,"Delivery","Bellandur","Dessert","Cafe"
"3201",3.9,600,"Yes","No",92,"Delivery","Bellandur","Indian","Delivery"
"3202",3.7,200,"Yes","No",59,"Delivery","Bellandur","Indian","Casual Dining"
"3203",4.1,800,"Yes","No",103,"Delivery","Bellandur","Indian","Quick Bites"
"3204",4.4,1100,"Yes","Yes",1209,"Delivery","Bellandur","Indian","Bar"
"3205",4,400,"Yes","No",167,"Delivery","Bellandur","Fast Food","Quick Bites"
"3206",3.8,600,"Yes","Yes",157,"Delivery","Bellandur","Asian","Casual Dining"
"3207",3.7,350,"Yes","No",52,"Delivery","Bellandur","Indian","Quick Bites"
"3208",3.7,600,"Yes","No",309,"Delivery","Bellandur","Indian","Casual Dining"
"3209",4.4,1500,"Yes","Yes",1381,"Delivery","Bellandur","Fast Food","Casual Dining"
"3210",3.9,800,"Yes","No",667,"Delivery","Bellandur","Indian","Casual Dining"
"3211",3.6,400,"Yes","No",34,"Delivery","Bellandur","Fast Food","Cafe"
"3212",4.1,750,"Yes","No",433,"Delivery","Bellandur","Bar Food","Cafe"
"3213",3.8,600,"Yes","No",29,"Delivery","Bellandur","Indian","Delivery"
"3214",3.9,600,"Yes","No",70,"Delivery","Bellandur","Dessert","Delivery"
"3215",3.8,350,"Yes","No",77,"Delivery","Bellandur","Indian","Quick Bites"
"3216",3.5,300,"Yes","No",18,"Delivery","Bellandur","Fast Food","Quick Bites"
"3217",4,300,"Yes","No",175,"Delivery","Bellandur","Dessert","Bakery"
"3218",3.6,200,"Yes","No",51,"Delivery","Bellandur","Indian","Quick Bites"
"3219",3.5,150,"Yes","No",23,"Delivery","Bellandur","Fast Food","Quick Bites"
"3220",3.9,550,"Yes","No",370,"Delivery","Bellandur","Indian","Casual Dining"
"3221",4,900,"Yes","Yes",557,"Delivery","Bellandur","Indian","Casual Dining"
"3222",3.6,500,"Yes","Yes",25,"Delivery","Bellandur","Indian","Casual Dining"
"3223",3.6,300,"Yes","No",42,"Delivery","Bellandur","Indian","Delivery"
"3224",3.8,300,"Yes","No",27,"Delivery","Bellandur","Indian","Quick Bites"
"3225",3.1,400,"Yes","No",281,"Delivery","Bellandur","Indian","Quick Bites"
"3226",3.6,400,"Yes","No",18,"Delivery","Bellandur","Dessert","Beverage Shop"
"3227",4.3,250,"Yes","No",49,"Delivery","Bellandur","Indian","Quick Bites"
"3228",3.6,800,"Yes","No",6,"Delivery","Bellandur","Indian","Delivery"
"3229",4.1,100,"Yes","No",65,"Delivery","Bellandur","Fast Food","Delivery"
"3230",4.4,1500,"Yes","Yes",3061,"Delivery","Bellandur","Indian","Bar"
"3231",3.6,800,"Yes","No",260,"Delivery","Bellandur","Fast Food","Quick Bites"
"3232",3.9,300,"Yes","No",39,"Delivery","Bellandur","Dessert","Beverage Shop"
"3233",4,600,"Yes","No",60,"Delivery","Bellandur","Fast Food","Beverage Shop"
"3234",3.6,300,"Yes","No",14,"Delivery","Bellandur","Indian","Delivery"
"3235",3.1,400,"Yes","No",85,"Delivery","Bellandur","Indian","Casual Dining"
"3236",3.9,500,"Yes","No",231,"Delivery","Bellandur","Indian","Delivery"
"3237",3.4,300,"Yes","No",7,"Delivery","Bellandur","Indian","Quick Bites"
"3238",4.2,1800,"Yes","Yes",1142,"Delivery","Bellandur","Indian","Casual Dining"
"3239",3.6,500,"Yes","No",16,"Delivery","Bellandur","Indian","Quick Bites"
"3240",3.8,700,"Yes","No",112,"Delivery","Bellandur","Indian","Quick Bites"
"3241",3.9,1000,"Yes","No",715,"Delivery","Bellandur","Asian","Casual Dining"
"3242",3,500,"Yes","No",237,"Delivery","Bellandur","Bar Food","Delivery"
"3243",4.2,250,"Yes","No",45,"Delivery","Bellandur","Indian","Quick Bites"
"3244",3.9,300,"Yes","No",48,"Delivery","Bellandur","Indian","Quick Bites"
"3245",3,400,"Yes","No",111,"Delivery","Bellandur","Indian","Quick Bites"
"3246",3.9,850,"Yes","No",396,"Delivery","Bellandur","Asian","Casual Dining"
"3247",3.6,300,"Yes","No",20,"Delivery","Bellandur","Indian","Quick Bites"
"3248",3.7,500,"Yes","No",160,"Delivery","Bellandur","Indian","Casual Dining"
"3249",3.4,400,"Yes","No",9,"Delivery","Bellandur","Indian","Quick Bites"
"3250",3.5,300,"Yes","No",18,"Delivery","Bellandur","European","Kiosk"
"3251",4.3,1800,"Yes","No",555,"Delivery","Bellandur","Indian","Casual Dining"
"3252",3.9,500,"Yes","Yes",42,"Delivery","Bellandur","Indian","Quick Bites"
"3253",3.5,500,"Yes","No",16,"Delivery","Bellandur","Indian","Delivery"
"3254",3.4,450,"Yes","No",262,"Delivery","Bellandur","Indian","Casual Dining"
"3255",4.1,1200,"Yes","Yes",1056,"Delivery","Bellandur","Mexican","Bar"
"3256",3.9,600,"Yes","No",112,"Delivery","Bellandur","Fast Food","Quick Bites"
"3257",4,700,"Yes","Yes",797,"Delivery","Bellandur","Dessert","Cafe"
"3258",3.9,450,"Yes","No",41,"Delivery","Bellandur","Dessert","Dessert Parlor"
"3259",3.3,500,"Yes","No",7,"Delivery","Bellandur","Indian","Delivery"
"3260",3.2,800,"Yes","No",10,"Delivery","Bellandur","Indian","Quick Bites"
"3261",3.3,300,"Yes","No",6,"Delivery","Bellandur","Dessert","Delivery"
"3262",3.7,400,"Yes","No",29,"Delivery","Bellandur","Fast Food","Beverage Shop"
"3263",2.9,400,"Yes","No",24,"Delivery","Bellandur","Dessert","Bakery"
"3264",2.4,1000,"Yes","No",438,"Delivery","Bellandur","Asian","Casual Dining"
"3265",3.8,300,"Yes","No",30,"Delivery","Bellandur","Indian","Quick Bites"
"3266",3.6,450,"Yes","No",32,"Delivery","Bellandur","Indian","Casual Dining"
"3267",3.8,200,"Yes","No",210,"Delivery","Bellandur","Indian","Quick Bites"
"3268",3.5,600,"Yes","No",17,"Delivery","Bellandur","Indian","Delivery"
"3269",3.6,600,"Yes","No",44,"Delivery","Bellandur","Bar Food","Cafe"
"3270",3.7,400,"Yes","No",33,"Delivery","Bellandur","Indian","Delivery"
"3271",3.4,350,"Yes","No",20,"Delivery","Bellandur","Indian","Delivery"
"3272",4.1,1100,"Yes","Yes",1691,"Delivery","Bellandur","Indian","Bar"
"3273",4.3,500,"Yes","No",556,"Delivery","Bellandur","Bar Food","Cafe"
"3274",4.1,900,"Yes","Yes",481,"Delivery","Bellandur","Indian","Casual Dining"
"3275",3,300,"Yes","No",4,"Delivery","Bellandur","American","Quick Bites"
"3276",3.8,150,"Yes","No",34,"Delivery","Bellandur","Indian","Quick Bites"
"3277",2.9,250,"Yes","No",163,"Delivery","Bellandur","Indian","Quick Bites"
"3278",4.3,1500,"Yes","Yes",715,"Delivery","Bellandur","Bar Food","Casual Dining"
"3279",4,200,"Yes","No",65,"Delivery","Bellandur","Indian","Sweet Shop"
"3280",4.2,450,"Yes","No",166,"Delivery","Bellandur","Indian","Quick Bites"
"3281",4,1000,"Yes","Yes",547,"Delivery","Bellandur","Indian","Casual Dining"
"3282",3,450,"Yes","No",139,"Delivery","Bellandur","Indian","Casual Dining"
"3283",3.2,250,"Yes","No",5,"Delivery","Bellandur","Indian","Quick Bites"
"3284",3.5,400,"Yes","No",11,"Delivery","Bellandur","Indian","Casual Dining"
"3285",2.9,400,"Yes","No",76,"Delivery","Bellandur","Indian","Quick Bites"
"3286",4.3,1000,"Yes","No",787,"Delivery","Bellandur","Asian","Casual Dining"
"3287",4,500,"Yes","No",55,"Delivery","Bellandur","Indian","Quick Bites"
"3288",4,250,"Yes","No",250,"Delivery","Bellandur","Indian","Quick Bites"
"3289",3.7,250,"Yes","No",24,"Delivery","Bellandur","Fast Food","Beverage Shop"
"3290",3.7,300,"Yes","No",16,"Delivery","Bellandur","Indian","Quick Bites"
"3291",3.2,500,"Yes","No",204,"Delivery","Bellandur","Indian","Casual Dining"
"3292",3.6,600,"Yes","No",55,"Delivery","Bellandur","Indian","Delivery"
"3293",2.9,450,"Yes","No",361,"Delivery","Bellandur","Indian","Casual Dining"
"3294",3.3,250,"Yes","No",30,"Delivery","Bellandur","Fast Food","Quick Bites"
"3295",3.3,400,"Yes","No",18,"Delivery","Bellandur","Indian","Delivery"
"3296",3.8,150,"Yes","No",38,"Delivery","Bellandur","Dessert","Dessert Parlor"
"3297",3.2,300,"Yes","No",6,"Delivery","Bellandur","Indian","Quick Bites"
"3298",3.9,750,"Yes","Yes",661,"Delivery","Bellandur","Indian","Casual Dining"
"3299",4.1,800,"Yes","No",268,"Delivery","Bellandur","Asian","Casual Dining"
"3300",3.4,400,"Yes","No",17,"Delivery","Bellandur","Indian","Quick Bites"
"3301",4,750,"Yes","No",200,"Delivery","Bellandur","Bar Food","Delivery"
"3302",3.2,300,"Yes","No",4,"Delivery","Bellandur","Indian","Quick Bites"
"3303",3.9,500,"Yes","No",228,"Delivery","Bellandur","Dessert","Dessert Parlor"
"3304",3.4,300,"Yes","No",6,"Delivery","Bellandur","Dessert","Bakery"
"3305",3.5,200,"Yes","No",5,"Delivery","Bellandur","Fast Food","Beverage Shop"
"3306",3.3,300,"Yes","No",9,"Delivery","Bellandur","Dessert","Dessert Parlor"
"3307",4.4,1400,"Yes","Yes",889,"Delivery","Bellandur","Indian","Casual Dining"
"3308",3.5,500,"Yes","No",43,"Delivery","Bellandur","European","Delivery"
"3309",4,600,"Yes","No",74,"Delivery","Bellandur","Dessert","Cafe"
"3310",3.1,400,"Yes","No",35,"Delivery","Bellandur","Indian","Casual Dining"
"3311",2.6,600,"Yes","No",155,"Delivery","Bellandur","Indian","Casual Dining"
"3312",4,300,"Yes","No",44,"Delivery","Bellandur","Indian","Quick Bites"
"3313",3.4,200,"Yes","No",9,"Delivery","Bellandur","Fast Food","Quick Bites"
"3314",3.2,500,"Yes","No",258,"Delivery","Bellandur","Fast Food","Quick Bites"
"3315",3.8,200,"Yes","No",133,"Delivery","Bellandur","Fast Food","Quick Bites"
"3316",2.8,500,"Yes","No",95,"Delivery","Bellandur","Indian","Casual Dining"
"3317",3.2,350,"Yes","No",31,"Delivery","Bellandur","Healthy Food","Quick Bites"
"3318",3.7,400,"Yes","No",48,"Delivery","Bellandur","Indian","Quick Bites"
"3319",3.2,250,"Yes","No",97,"Delivery","Bellandur","Indian","Quick Bites"
"3320",3.7,900,"Yes","No",44,"Delivery","Bellandur","Dessert","Dessert Parlor"
"3321",4,1000,"Yes","Yes",341,"Delivery","Bellandur","Bar Food","Cafe"
"3322",3.3,200,"Yes","No",84,"Delivery","Bellandur","Fast Food","Quick Bites"
"3323",3.7,400,"Yes","No",16,"Delivery","Bellandur","Dessert","Bakery"
"3324",3.6,700,"Yes","No",109,"Delivery","Bellandur","Indian","Casual Dining"
"3325",4,500,"Yes","No",162,"Delivery","Bellandur","Asian","Quick Bites"
"3326",4.4,1200,"Yes","Yes",1146,"Delivery","Bellandur","Indian","Casual Dining"
"3327",3.9,500,"Yes","No",34,"Delivery","Bellandur","Dessert","Delivery"
"3328",4.4,600,"Yes","No",536,"Delivery","Bellandur","Dessert","Delivery"
"3329",4.1,200,"Yes","No",39,"Delivery","Bellandur","Indian","Quick Bites"
